#
# This file displays the world and sounds
#

# Sounds
Sound Flap 		../assets/Sound/WING-BEAT.wav
Sound Stab 		../assets/Sound/STAB.wav
Sound BaconBomb 	../assets/Sound/BACON-BOMB.wav
Sound KnifeThrow 	../assets/Sound/KNIFE-THROW.wav
Sound WingsUp 		../assets/Sound/WINGS-UP.wav
Sound QuitnTime 	../assets/Sound/QUITN-TIME.wav

#     	gX, gY, cW, cH, sX, sY,  sM,  g,   bullet 
Player 	5   2  	48   48   5  20  20  0.75  Buster
Butcher 64  640 Buster

# City Sprites
#Dec ButcherShop	4	1
Tile Pickup1		12 	7
#Dec RedBuilding	9	1
Tile BlueBuilding	11	1
Tile GreenBuilding	14	1
Tile BlueBuilding	16	1
Tile GreenBuilding	20	1
Tile GreenBuilding	22	1
Tile BlueBuilding	24	1
Tile RedBuilding	27	1
Tile GreenBuilding	30	1
Tile BlueBuilding	34	1
Tile RedBuilding	38	1
Tile RedBuilding	40	1
Tile GreenBuilding	43	1
Tile BlueBuilding	45	1
Tile RedBuilding	49	1
Tile BlueBuilding	52	1
Tile RedBuilding	56	1
Tile GreenBuilding	58	1
Tile BlueBuilding	61	1
Tile RedBuilding	65	1
Tile GreenBuilding	67	1
Tile BlueBuilding	70	1
Tile RedBuilding	74	1
Tile RedBuilding	76	1	
Tile GreenBuilding	79	1
Tile BlueBuilding	82	1
Tile RedBuilding	86	1
Tile GreenBuilding	89	1
Tile BlueBuilding	92	1
Tile RedBuilding	96	1
Tile RedBuilding	98	1
Dec Clouds1	6	8
Dec Clouds2	7	10
Dec Clouds2	9	7
Dec Clouds1	9	9
Dec Clouds1	11	10
Dec Clouds1	12	8
Dec Clouds2	13	9
Dec Clouds1	16	9
Dec Clouds1	5	11
Dec Clouds2	15	7
Dec Clouds2	18	8
Dec Clouds2	16	11
Dec Clouds2	23	9
Dec Clouds1	13	11
Dec Clouds1	21	8
Dec Clouds1	19	10
Dec Clouds1	24	11
Dec Clouds1	27	9
Dec Clouds1	31	10
Dec Clouds1	34	9
Dec Clouds1	38	8
Dec Clouds2	28	11
Dec Clouds2	29	8
Dec Clouds2	33	10
Dec Clouds2	35	8
Dec Clouds2	37	10
Dec Clouds1	40	10
Dec Clouds1	41	7
Dec Clouds1	44	9
Dec Clouds1	47	8
Dec Clouds1	48	11
Dec Clouds1	50	10
Dec Clouds1	53	8
Dec Clouds1	55	10
Dec Clouds2	41	9
Dec Clouds2	43	11
Dec Clouds2	45	7
Dec Clouds2	47	10
Dec Clouds2	49	7
Dec Clouds2	52	11
Dec Clouds2	55	8
Dec Clouds1	58	7
Dec Clouds1	59	9
Dec Clouds2	60	8
Dec Clouds1	62	10
Dec Clouds2	63	9
Dec Clouds1	64	8
Dec Clouds1	66	9
Dec Clouds2	67	8
Dec Clouds2	67	10
Dec Clouds1	70	11	
Dec Clouds1	71	8
Dec Clouds2	73	9
Dec Clouds1	75	7
Dec Clouds2	75	11
Dec Clouds1	77	9
Dec Clouds2	79	8
Dec Clouds1	80	11
Dec Clouds1	82	9
Dec Clouds2	84	11
Dec Clouds2	84	8
Dec Clouds1	88	11	
Dec Clouds1	88	8	
Dec Clouds2	90	9
Dec Clouds1	93	10
Dec Clouds2	93	7
Dec Clouds2	96	9
Dec Clouds1	98	8
Dec Clouds2	99	10

# City
Tile Ground 	0	0
Tile Ground 	1	0
Tile Ground 	2	0
Tile Ground 	3	0
Tile Ground 	4	0
Tile Ground 	5	0
Tile Ground 	6	0
Tile Ground 	7	0
Tile Ground 	8	0
Tile Ground 	9	0
Tile Ground 	10	0
Tile Ground 	11	0
Tile Ground 	12	0
Tile Ground 	13	0
Tile Ground 	14	0
Tile Ground 	15	0
Tile Ground 	16	0
Tile Ground 	17	0
Tile Ground 	18	0
Tile Ground 	19	0
Tile Ground 	20	0
Tile Ground 	21	0
Tile Ground 	22	0
Tile Ground 	23	0
Tile Ground 	24	0
Tile Ground 	25	0
Tile Ground 	26	0
Tile Ground 	27	0
Tile Ground 	28	0
Tile Ground 	29	0
Tile Ground 	30	0
Tile Ground 	31	0
Tile Ground 	32	0
Tile Ground 	33	0
Tile Ground 	34	0
Tile Ground 	35	0
Tile Ground 	36	0
Tile Ground 	37	0
Tile Ground 	38	0
Tile Ground 	39	0
Tile Ground 	40	0
Tile Ground	41	0
Tile Ground	42	0
Tile Ground	43	0
Tile Ground	44	0
Tile Ground	45	0
Tile Ground	46	0
Tile Ground	47	0
Tile Ground	48	0
Tile Ground	49	0
Tile Ground	50	0
Tile Ground	51	0
Tile Ground	52	0
Tile Ground	53	0
Tile Ground	54	0
Tile Ground	55	0
Tile Ground	56	0
Tile Ground	57	0
Tile Ground	58	0
Tile Ground	59	0
Tile Ground	60	0
Tile Ground	61	0
Tile Ground	62	0
Tile Ground	63	0
Tile Ground	64	0
Tile Ground	65	0
Tile Ground	66	0
Tile Ground	67	0
Tile Ground	68	0
Tile Ground	69	0
Tile Ground	70	0
Tile Ground	71	0
Tile Ground	72	0
Tile Ground	73	0
Tile Ground	74	0
Tile Ground	75	0
Tile Ground	76	0
Tile Ground	77	0
Tile Ground	78	0
Tile Ground	79	0
Tile Ground	80	0
Tile Ground	81	0
Tile Ground	82	0
Tile Ground	83	0
Tile Ground	84	0
Tile Ground	85	0
Tile Ground	86	0
Tile Ground	87	0
Tile Ground	88	0
Tile Ground	89	0
Tile Ground	90	0
Tile Ground	91	0
Tile Ground	92	0
Tile Ground	93	0
Tile Ground	94	0
Tile Ground	95	0
Tile Ground	96	0
Tile Ground	97	0
Dec  EnterForest 97	8		
Tile Ground	98	0
Tile Ground	99	0
Tile ConP 	100	0

# Forest
Tile Ground2	101	0
Dec Tree1	101	1
Tile Ground2	102	0
Tile Ground2	103	0
Tile Ground2	104	0
Dec Tree3	104	1
Tile Ground2	105	0
Tile Ground2	106	0
Tile Ground2	107	0
Tile Cloud1	107	8
Dec Tree2	107	1
Tile Ground2	108	0
Tile Ground2	109	0
Tile Ground2	110	0
Dec Tree1	110	1
Tile Ground2	111	0
Tile Ground2	112	0
Tile Ground2	113	0
Dec Tree3	113	1
Tile Ground2	114	0
Tile Ground2	115	0
Tile Ground2	116	0
Dec Tree2	116	1
Tile Cloud2	116	8
Tile Ground2	117	0
Tile Ground2	118	0
Tile Ground2	119	0
Dec Tree3	119	1
Tile Ground2	120	0
Tile Ground2	121	0
Tile Ground2	122	0
Dec Tree1	122	1
Tile Ground2	123	0
Tile Ground2	124	0
Tile Ground2	125	0
Tile Cloud1	125	8
Dec Tree3	125	1
Tile Ground2	126	0
Tile Ground2	127	0
Tile Ground2	128	0
Dec Tree2	128	1
Tile Ground2	129	0
Tile Ground2	130	0
Tile Ground2	131	0
Dec Tree2	131	1
Tile Ground2	132	0
Tile Ground2	133	0
Tile Ground2	134	0
Dec Tree1	134	1
Tile Cloud2	134	8
Tile Ground2	135	0
Tile Ground2	136	0
Tile Ground2	137	0
Dec Tree3	137	1
Tile Ground2	138	0
Tile Ground2	139	0
Tile Ground2	140	0
Dec Tree1	140	1
Tile Ground2	141	0
Tile Ground2	142	0
Tile Ground2	143	0
Tile Cloud1	143	8
Dec Tree2	143	1
Tile Ground2	144	0
Tile Ground2	145	0
Tile Ground2	146	0
Dec Tree3	146	1
Tile Ground2	147	0
Tile Ground2	148	0
Tile Ground2	149	0
Tile Ground2	150	0
Dec Tree3	150	1
Tile Ground2	151	0
Tile Ground2	152	0
Tile Cloud2	152	8
Tile Ground2	153	0
Dec Tree1	153	1
Tile Ground2	154	0
Tile Ground2	155	0
Tile Ground2	156	0
Dec Tree1	156	1
Tile Ground2	157	0
Tile Ground2	158	0
Tile Ground2	159	0
Dec Tree2	159	1
Tile Ground2	160	0
Tile Ground2	161	0
Tile Cloud1	161	8
Tile Ground2	162	0
Dec Tree3	162	1
Tile Ground2	163	0
Tile Ground2	164	0
Tile Ground2	165	0
Dec Tree1	165	1
Tile Ground2	166	0
Tile Ground2	167	0
Tile Ground2	168	0
Dec Tree3	168	1
Tile Ground2	169	0
Tile Ground2	170	0
Tile Cloud2	170	8
Tile Ground2	171	0
Dec Tree2	172	1
Tile Ground2	172	0
Tile Ground2	173	0
Tile Ground2	174	0
Dec Tree1	175	1
Tile Ground2	175	0
Tile Ground2	176	0
Tile Ground2	177	0
Tile Ground2	178	0
Dec Tree2	178	1
Tile Ground2	179	0
Tile Cloud1	179	8
Tile Ground2	180	0
Tile Ground2	181	0
Dec Tree3	181	1
Tile Ground2	182	0
Tile Ground2	183	0
Tile Ground2	184	0
Dec Tree1	184	1
Tile Ground2	185	0
Tile Ground2	186	0
Tile Ground2	187	0
Dec Tree3	187	1
Tile Ground2	188	0
Tile Cloud2	188	8
Tile Ground2	189	0
Tile Ground2	190	0
Dec Tree1	190	1
Tile Ground2	191	0
Tile Ground2	192	0
Tile Ground2	193	0
Dec Tree2	193	1
Tile Ground2	194	0
Tile Ground2	195	0
Tile Ground2	196	0
Dec Tree3	196	1
Tile Ground2	197	0
Tile Cloud1	197	8
Tile Ground2	198	0
Tile Ground2	199	0
Dec Tree1	199	1
Tile Ground2	200	0
Tile Ground2	201	0
Tile Ground2	202	0
Dec Tree2	202	1
Tile Ground2	203	0
Tile Ground2	204	0
Tile Ground2	205	0

# This is the end of the Level1
